Time,Charge
248,-2315.17094
248.5,-2334.401709
249,-2352.564103
249.5,-2376.068376
250,-2392.094017
250.5,-2408.119658
251,-2430.555556
251.5,-2396.367521
252,-2396.367521
252.5,-2444.444444
253,-2481.837607
253.5,-2524.57265
254,-2574.786325
254.5,-2625
255,-2666.666667
255.5,-2690.17094
256,-2711.538462
256.5,-2712.606838
257,-2710.470085
257.5,-2700.854701
258,-2700.854701
258.5,-2686.965812
259,-2680.555556
259.5,-2674.145299
260,-2667.735043
260.5,-2661.324786
261,-2654.91453
261.5,-2648.504274
262,-2654.91453
262.5,-2659.188034
263,-2659.188034
263.5,-2659.188034
264,-2658.119658
264.5,-2657.051282
265,-2655.982906
265.5,-2654.91453
266,-2653.846154
266.5,-2652.777778
267,-2651.709402
267.5,-2650.641026
268,-2649.57265
268.5,-2648.504274
269,-2647.435897
269.5,-2646.367521
270,-2645.299145
270.5,-2644.230769
271,-2643.162393
271.5,-2642.094017
272,-2641.025641
272.5,-2639.957265
273,-2638.888889
273.5,-2637.820513
274,-2636.752137
274.5,-2635.683761
275,-2634.615385
275.5,-2633.547009
276,-2632.478632
276.5,-2631.410256
277,-2630.34188
277.5,-2629.273504
278,-2628.205128
278.5,-2627.136752
279,-2626.068376
279.5,-2625
280,-2619.65812
280.5,-2627.136752
281,-2590.811966
281.5,-2553.418803
282,-2477.564103
282.5,-2411.324786
283,-2330.128205
283.5,-2284.188034
284,-2266.025641
284.5,-2228.632479
285,-2194.444444
285.5,-2163.461538
286,-2131.410256
286.5,-2131.410256
287,-2141.025641
287.5,-2112.179487
288,-2092.948718
288.5,-2063.034188
289,-2041.666667
289.5,-2017.094017
290,-1993.589744
290.5,-1993.589744
291,-1993.589744
291.5,-1993.589744
292,-1993.589744
292.5,-1993.589744
293,-1993.589744
293.5,-1993.589744
294,-1993.589744
294.5,-1993.589744
295,-1993.589744
295.5,-1993.589744
296,-1993.589744
296.5,-1993.589744
297,-1993.589744
297.5,-1993.589744
298,-1993.589744
298.5,-1993.589744
299,-1993.589744
299.5,-1993.589744
300,-1993.589744
300.5,-1993.589744
301,-1993.589744
301.5,-1993.589744
302,-1993.589744
302.5,-1993.589744
303,-1993.589744
303.5,-1993.589744
304,-1993.589744
304.5,-1993.589744
305,-1993.589744
305.5,-1993.589744
306,-1993.589744
306.5,-1993.589744
307,-1993.589744
307.5,-1993.589744
308,-1993.589744
308.5,-1993.589744
309,-1993.589744
309.5,-1993.589744
310,-1993.589744
310.5,-1993.589744
311,-1993.589744
311.5,-1993.589744
312,-1993.589744
312.5,-1993.589744
313,-1993.589744
313.5,-2095.08547
314,-2110.042735
314.5,-2126.068376
315,-2158.119658
315.5,-2182.692308
316,-2198.717949
316.5,-2219.017094
317,-2238.247863
317.5,-2261.752137
318,-2276.709402
318.5,-2290.598291
319,-2306.623932
319.5,-2322.649573
320,-2321.581197
320.5,-2341.880342
321,-2358.974359
321.5,-2377.136752
322,-2394.230769
322.5,-2409.188034
323,-2423.076923
323.5,-2433.760684
324,-2445.512821
324.5,-2457.264957
325,-2470.08547
325.5,-2482.905983
326,-2495.726496
326.5,-2507.478632
327,-2519.230769
327.5,-2519.230769
328,-2543.803419
328.5,-2600.42735
329,-2651.709402
329.5,-2691.239316
330,-2724.358974
330.5,-2754.273504
331,-2784.188034
331.5,-2814.102564
332,-2842.948718
332.5,-2870.726496
333,-2897.435897
333.5,-2922.008547
334,-2945.512821
334.5,-2966.880342
335,-2986.111111
335.5,-3003.205128
336,-3020.299145
336.5,-3038.461538
337,-3056.623932
337.5,-3075.854701
338,-3091.880342
338.5,-3095.08547
339,-3087.606838
339.5,-3087.606838
340,-3090.811966
340.5,-3089.74359
341,-3088.675214
341.5,-3088.675214
342,-3094.017094
342.5,-3100.42735
343,-3107.905983
343.5,-3116.452991
344,-3125
344.5,-3133.547009
345,-3143.162393
345.5,-3152.777778
346,-3162.393162
346.5,-3172.008547
347,-3181.623932
347.5,-3191.239316
348,-3199.786325
348.5,-3208.333333
349,-3216.880342
349.5,-3225.42735
350,-3229.700855
350.5,-3212.606838
351,-3193.376068
351.5,-3138.888889
352,-3084.401709
352.5,-3030.982906
353,-2979.700855
353.5,-2930.555556
354,-2882.478632
354.5,-2835.470085
355,-2789.529915
355.5,-2744.65812
356,-2695.512821
356.5,-2695.512821
357,-2653.846154
357.5,-2648.504274
358,-2641.025641
358.5,-2647.435897
359,-2645.299145
359.5,-2653.846154
360,-2661.324786
360.5,-2666.666667
361,-2669.871795
361.5,-2669.871795
362,-2668.803419
362.5,-2667.735043
363,-2666.666667
363.5,-2665.598291
364,-2664.529915
364.5,-2663.461538
365,-2662.393162
365.5,-2660.25641
366,-2658.119658
366.5,-2655.982906
367,-2653.846154
367.5,-2651.709402
368,-2649.57265
368.5,-2647.435897
369,-2645.299145
369.5,-2643.162393
370,-2641.025641
370.5,-2638.888889
371,-2634.615385
371.5,-2620.726496
372,-2623.931624
372.5,-2608.974359
373,-2588.675214
373.5,-2543.803419
374,-2467.948718
374.5,-2386.752137
375,-2310.897436
375.5,-2310.897436
376,-2246.794872
376.5,-2222.222222
377,-2183.760684
377.5,-2127.136752
378,-2096.153846
378.5,-2053.418803
379,-1957.264957
379.5,-2012.820513
380,-1964.74359
380.5,-1942.307692
381,-1917.735043
381.5,-1886.752137
382,-1845.08547
382.5,-1845.08547
383,-1845.08547
383.5,-1845.08547
384,-1845.08547
384.5,-1845.08547
385,-1845.08547
385.5,-1845.08547
386,-1845.08547
386.5,-1845.08547
387,-1845.08547
387.5,-1845.08547
