Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
845.0,0.6,-600,-12.82051282051282,-3213.675213675243,34.05915072581725,-0.04607297805437488,-0.028144559829059824,-29.006820829969573,-0.034079132610448294,-25.902719739522563,0,0,45.49665421832378,293.15,293.15,3.608039302672635,0.0021952756666666663,0.0015892377410120701,0.0013144624872247147,8840.376725536975,7144.183482349741
845.5,0.6,-600,-12.82051282051282,-3220.0854700854993,34.02735381902034,-0.04515658041117367,-0.028144559829059827,-28.445773468018867,-0.03316334165351773,-25.18375634057551,0,0,45.51838106959639,293.15,293.15,3.6078784103242425,0.0021952756666666668,0.001588349799671004,0.0013156584695795514,8831.487144005465,7142.572669016662
846.0,0.6,-600,-12.82051282051282,-3226.4957264957557,33.995556912223435,-0.044271055454557354,-0.028144559829059827,-27.903556828022587,-0.03229768491357712,-24.50413434368621,0,0,45.53905483112253,293.15,293.15,3.6077175179758503,0.0021952756666666668,0.0015874618583299378,0.001316854451934388,8822.597562473957,7140.961855683584
846.5,0.6,-600,-12.82051282051282,-3232.905982906012,33.96376000542652,-0.04341539719811618,-0.028144559829059824,-27.37956812689824,-0.0314794297630833,-23.86167539735422,0,0,45.55872410488358,293.15,293.15,3.6075566256274576,0.0021952756666666663,0.001586573916988871,0.0013180504342892247,8813.707980942447,7139.351042350504
847.0,0.6,-600,-12.82051282051282,-3239.3162393162684,33.93196309862962,-0.04258863083872372,-0.028144559829059827,-26.8732229071409,-0.030705994318350024,-23.254323203821674,0,0,45.57743512780812,293.15,293.15,3.6073957332790663,0.0021952756666666668,0.001585685975647805,0.0013192464166440609,8804.818399410942,7137.740229017425
847.5,0.6,-600,-12.82051282051282,-3245.7264957265247,33.90016619183271,-0.041789811840890125,-0.028144559829059827,-26.383954510097197,-0.029974939023838645,-22.680136599192718,0,0,45.59523189307949,293.15,293.15,3.6072348409306727,0.0021952756666666668,0.0015847980343067385,0.0013204423989988977,8795.92881787943,7136.129415684347
848.0,0.6,-600,-12.82051282051282,-3252.136752136781,33.86836928503581,-0.041018025046455506,-0.028144559829059824,-25.911213563474142,-0.02928395871190628,-22.137283030513814,0,0,45.612156264933176,293.15,293.15,3.6070739485822814,0.0021952756666666663,0.0015839100929656725,0.001321638381353734,8787.039236347924,7134.518602351269
848.5,0.6,-600,-12.82051282051282,-3258.5470085470374,33.8365723782389,-0.04027238380896654,-0.028144559829059827,-25.45446748272335,-0.028630875110829516,-21.624032406775672,0,0,45.62824808730542,293.15,293.15,3.6069130562338882,0.0021952756666666668,0.0015830221516246058,0.0013228343637085706,8778.149654816414,7132.907789018189
849.0,0.6,-600,-12.82051282051282,-3264.957264957294,33.804775471442,-0.039552029152095367,-0.028144559829059824,-25.013199985950006,-0.028013629775494348,-21.138751302149803,0,0,45.64354528667501,293.15,293.15,3.6067521638854965,0.0021952756666666663,0.0015821342102835395,0.0013240303460634068,8769.260073284908,7131.296975685111
849.5,0.6,-600,-12.82051282051282,-3271.36752136755,33.772978564645086,-0.03885612895147515,-0.028144559829059824,-24.586910622003778,-0.027430277416623277,-20.679897491045715,0,0,45.658083969419295,293.15,293.15,3.606591271537104,0.0021952756666666663,0.001581246268942473,0.0013252263284182434,8760.370491753396,7129.686162352031
850.0,0.6,-600,-12.82051282051282,-3277.7777777778065,33.74118165784818,-0.03818387713934199,-0.028144559829059824,-24.175114311417186,-0.02687897960580436,-20.24601479577124,0,0,45.67189851398857,293.15,293.15,3.606430379188712,0.0021952756666666663,0.0015803583276014067,0.00132642231077308,8751.480910221888,7128.075349018952
850.5,0.6,-600,-12.82051282051282,-3284.188034188063,33.709384751051275,-0.03753449293138741,-0.028144559829059824,-23.777340899864654,-0.026357998834899296,-19.8357282287049,0,0,45.68502165818465,293.15,293.15,3.60626948684032,0.0021952756666666663,0.0015794703862603405,0.0013276182931279165,8742.591328690378,7126.464535685873
851.0,0.6,-600,-12.82051282051282,-3290.598290598319,33.67758784425437,-0.036907220075240464,-0.028144559829059824,-23.393134723823252,-0.025865692909643367,-19.44773941194812,0,0,45.69748458181378,293.15,293.15,3.6061085944919267,0.0021952756666666663,0.0015785824449192744,0.001328814275482753,8733.70174715887,7124.853722352793
851.5,0.6,-600,-12.82051282051282,-3297.0085470085755,33.64579093745746,-0.03630132612001225,-0.028144559829059827,-23.022054188123533,-0.025400509658413534,-19.080822258421712,0,0,45.709316984968645,293.15,293.15,3.605947702143535,0.0021952756666666668,0.001577694503578208,0.0013300102578375893,8724.812165627363,7123.242909019714
