Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],U_R [V],Q_Irreversibel [W],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
662.0,-0.2,200,4.426677118305433,-2952.428332518287,15.355018191873574,0.0007169986962969695,0.4990542404922535,-0.008832264392219355,-8.64714029099583,0,-4.798354744390068,45.192609625286636,313.15,315.6999488287398,3.4788022640907,0.0012803256289681292,0.0008403501390540243,0.001082344294681539,6598.4208837054975,12405.918320999033,0.005667588165733229,0.10622804442442699,-0.0003428996361625285,-0.4753322555313552,-0.36910421110692826
662.5,-0.2,200,4.425502347801883,-2950.215581344386,15.365994140156817,0.0009876779589108162,0.853034930127666,-0.00832493599817267,-8.160211077659197,0,-4.902810274944217,45.203998858785326,313.15,315.687716462371,3.4789012671442148,0.0012804585546964601,0.0008405267720861827,0.001082357344456455,6599.078524110526,12403.911916965277,0.00566667234007219,0.09776263841221404,-0.00034268011719686364,-0.474901890331,-0.37713925191878594
663.0,-0.2,200,4.424387334067245,-2948.0033876773523,15.376967323029005,0.0012338669072440608,1.1748239191027168,-0.00783647171904706,-7.691393158352341,0,-4.9948552687606425,45.21482513238334,313.15,315.67551689806726,3.4790002452537223,0.0012805911535478983,0.0008407029707610693,0.0010823703621407447,6599.734547315823,12401.910446868123,0.005665831279875884,0.09025853562221023,-0.0003424606535394199,-0.4744781716807212,-0.38421963605851095
663.5,-0.2,200,4.423327955254169,-2945.791723699725,15.387937878473588,0.0014577911196234966,1.4673542232982941,-0.007366172380968001,-7.240015061066397,0,-5.075921916332266,45.225126414085956,313.15,315.66335245093427,3.4790991996638327,0.0012807233968249508,0.0008408786969451695,0.0010823833449170768,6600.388811342622,12399.914343872515,0.005665059604123883,0.08360510960395647,-0.00034224124243052825,-0.4740606416295154,-0.39045553202555894
664.0,-0.2,200,4.422320419157687,-2943.5805634901462,15.398905935068717,0.0016614733433125246,1.733290921845973,-0.0069133646927124,-6.8054301800855095,0,-5.147253148064606,45.23493770318499,313.15,315.6512251476441,3.47919813153432,0.0012808552594318723,0.0008410539172910072,0.0010823962903217157,6601.041192031544,12397.923986777985,0.005664352367771085,0.07770632908404132,-0.0003420218812986257,-0.47364887893516483,-0.39594254985112354
664.5,-0.2,200,4.421361234369911,-2941.369882872961,15.409871612733326,0.0018467520335052287,1.9750556961163042,-0.006477400282588658,-6.387015850379524,0,-5.209931190722749,45.24429128336868,313.15,315.63913676368037,3.479297041946855,0.001280986719399538,0.0008412286026057901,0.001082409196197877,6601.691580691935,12395.93970719033,0.005663705022895804,0.07247855809360074,-0.0003418025677453335,-0.4732424958415045,-0.40076393774790375
665.0,-0.2,200,4.420447184096303,-2939.159659280913,15.420835023408168,0.0020152981933775444,2.19484911749523,-0.006057654772113117,-5.9841724573337824,0,-5.264901448398252,45.2532169533075,313.15,315.6270888550735,3.4793959319111414,0.0012811177574817046,0.0008414027273149186,0.0010824220606560912,6602.339882104403,12393.961795615678,0.005663113383555771,0.06784871604672177,-0.00034158329953183663,-0.4728411351542796,-0.40499241910755784
665.5,-0.2,200,4.419575302378194,-2936.949871629724,15.431796271677953,0.0021686306711473148,2.3946708903288902,-0.0056535268849369925,-5.596322580342393,0,-5.31299250402546,45.26174223675937,313.15,315.61508278551804,3.4794948023705357,0.001281248356811003,0.0008415762690048644,0.0010824348820404309,6602.986012818859,12391.990506653037,0.0056625735939745524,0.06375273650793795,-0.00034136407456644095,-0.47244446758681946,-0.4086917310788815
666.0,-0.2,200,4.418742852491652,-2934.740500203478,15.442755455339892,0.0023081300557923692,2.5763382376279274,-0.005264437589563389,-5.22291016887044,0,-5.3549328997135435,45.26989257405052,313.15,315.60311974961434,3.479593654207166,0.0012813785026049842,0.0008417492080325621,0.0010824476588996517,6603.629899700212,12390.026063431254,0.00566208209972223,0.06013427398705791,-0.00034114489089320213,-0.47205218934963816,-0.41191791536258027
666.5,-0.2,200,4.417947307315755,-2932.5315265498202,15.45371266592351,0.002435051300075201,2.7415026000039036,-0.004889829274471889,-4.863399749662857,0,-5.3913652403904315,45.277691496619724,313.15,315.59120079285043,3.4796924882466307,0.0012815081819141805,0.0008419215271906299,0.0010824603899624605,6604.271478681907,12388.06866141185,0.005661635621590863,0.05694361685371057,-0.0003409257466815298,-0.47166401996066687,-0.4147204031069563
