Time,Charge
251,-2755.76182043015
251.5,-2720.43304218835
252,-2720.43304218835
252.5,-2768.78140998411
253,-2808.42002467473
253.5,-2853.41387116928
254,-2906.72145691025
254.5,-2960.67234840545
255,-3005.61050650061
255.5,-3030.77759936437
256,-3053.20726958975
256.5,-3054.32616617733
257,-3052.1386476381
257.5,-3042.34044196194
258,-3042.34044196194
258.5,-3028.19756941106
259,-3021.7737829185
259.5,-3015.30986491631
260,-3008.85462273324
260.5,-3002.40733492273
261,-2995.96761864603
261.5,-2989.5351102189
262,-2995.96075456865
262.5,-3000.29916962081
263,-3000.29916962081
263.5,-3000.29916962081
264,-2999.2227959195
264.5,-2998.14816911715
265,-2997.07411247624
265.5,-2996.00060064073
266,-2994.92760840748
266.5,-2993.85511187356
267,-2992.78308836219
267.5,-2991.71151635451
268,-2990.64037542533
268.5,-2989.56964618281
269,-2988.49931021166
269.5,-2987.4293500197
270,-2986.35974898764
270.5,-2985.29049132168
271,-2984.22156200902
271.5,-2983.15294677581
272,-2982.08463204765
272.5,-2981.01660491227
273,-2979.94885308443
273.5,-2978.88136487277
274,-2977.81412914855
274.5,-2976.74713531619
275,-2975.68037328543
275.5,-2974.61383344508
276,-2973.54750663826
276.5,-2972.48138413892
277,-2971.41545762981
277.5,-2970.34971918155
278,-2969.28416123288
278.5,-2968.21877657203
279,-2967.1535583191
279.5,-2966.08849990931
280,-2960.76397574933
280.5,-2968.18326335773
281,-2931.66394758563
281.5,-2895.7666194899
282,-2823.0867628366
282.5,-2762.08915289533
283,-2686.77627125832
283.5,-2644.90984198875
284,-2627.8725110535
284.5,-2591.9766895254
285,-2559.79151343425
285.5,-2530.56074156912
286,-2500.27049744968
286.5,-2500.27049744968
287,-2509.61316466599
287.5,-2481.2828060494
288,-2463.0850592326
288.5,-2434.51445635242
289,-2414.32673649149
289.5,-2390.93633796496
290,-2368.64448207985
290.5,-2368.64448207985
291,-2368.64448207985
291.5,-2368.64448207985
292,-2368.64448207985
292.5,-2368.64448207985
293,-2368.64448207985
293.5,-2368.64448207985
294,-2368.64448207985
294.5,-2368.64448207985
295,-2368.64448207985
295.5,-2368.64448207985
296,-2368.64448207985
296.5,-2368.64448207985
297,-2368.64448207985
297.5,-2368.64448207985
298,-2368.64448207985
298.5,-2368.64448207985
299,-2368.64448207985
299.5,-2368.64448207985
300,-2368.64448207985
300.5,-2368.64448207985
301,-2368.64448207985
301.5,-2368.64448207985
302,-2368.64448207985
302.5,-2368.64448207985
303,-2368.64448207985
303.5,-2368.64448207985
304,-2368.64448207985
304.5,-2368.64448207985
305,-2368.64448207985
305.5,-2368.64448207985
306,-2368.64448207985
306.5,-2368.64448207985
307,-2368.64448207985
307.5,-2368.64448207985
308,-2368.64448207985
308.5,-2368.64448207985
309,-2368.64448207985
309.5,-2368.64448207985
310,-2368.64448207985
310.5,-2368.64448207985
311,-2368.64448207985
311.5,-2368.64448207985
312,-2368.64448207985
312.5,-2368.64448207985
313,-2368.64448207985
313.5,-2468.95343002808
314,-2485.530978321
314.5,-2501.7725691492
315,-2534.27612629933
315.5,-2559.6717997224
316,-2576.13759425076
316.5,-2596.82006331766
317,-2616.52083934371
317.5,-2640.59904330843
318,-2656.01088315468
318.5,-2670.20273371642
319,-2686.56528256724
319.5,-2702.97475232879
320,-2701.88006099479
320.5,-2722.29606337885
321,-2739.88758750633
321.5,-2758.53694150519
322,-2776.12169864585
322.5,-2791.50135813815
323,-2805.75649989931
323.5,-2816.71323223443
324,-2828.72598473578
324.5,-2840.75401763574
325,-2853.87813786924
325.5,-2867.02060735282
326,-2880.1667950964
326.5,-2892.22064185478
327,-2904.26296946108
327.5,-2904.26296946108
328,-2929.11868954703
328.5,-2987.9536446272
329,-3043.42043937212
329.5,-3086.16140371778
330,-3121.56167187358
330.5,-3153.33771983117
331,-3185.03222255758
331.5,-3216.76273276314
332,-3247.39743396027
332.5,-3276.89462617421
333,-3305.24983257927
333.5,-3331.3265635648
334,-3356.22513346314
334.5,-3378.8436252764
335,-3399.15809106075
335.5,-3417.17428447489
336,-3435.14647326109
336.5,-3454.24005804049
337,-3473.35677004209
337.5,-3493.59963405579
338,-3510.49098206326
338.5,-3513.8571718674
339,-3506.11996749677
339.5,-3506.11996749677
340,-3509.41364756947
340.5,-3508.31317219683
341,-3507.21896681772
341.5,-3507.21896681772
342,-3512.68350497086
342.5,-3519.27329895168
343,-3526.96654443373
343.5,-3535.76552550857
344,-3544.5721959501
344.5,-3553.37689373981
345,-3563.27999810274
345.5,-3573.19299050684
346,-3583.10502428016
346.5,-3593.01607220182
347,-3602.92621197456
347.5,-3612.83551867684
348,-3621.64311440302
348.5,-3630.43947113327
349,-3639.2344149779
349.5,-3648.02811926722
350,-3652.42439324044
350.5,-3634.92578173607
351,-3615.70780458288
351.5,-3561.4697579302
352,-3509.28323113142
352.5,-3458.23705592914
353,-3409.3731952465
353.5,-3362.61774845765
354,-3316.93828128195
354.5,-3272.36503908718
355,-3228.8828725525
355.5,-3186.47980333548
356,-3140.10400892963
356.5,-3140.10400892963
357,-3099.25676449941
357.5,-3094.22825294075
358,-3086.94419198483
358.5,-3093.17630800579
