Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
908.0,0.8,-800.0,-17.77777777777778,-2659.9999999999773,26.80555555555567,3.566161111111112,0.00178,0.001437390694444446,8486.866219444459,0.0012993702777777758,7168.414729166672
908.5,0.8,-800.0,-17.77777777777778,-2668.888888888866,26.76146384479729,3.565866578483246,0.00178,0.0014368486750440932,8481.882890520295,0.001300095057319222,7166.400815145507
909.0,0.8,-800.0,-17.77777777777778,-2677.7777777777546,26.717372134038918,3.5655720458553795,0.00178,0.0014363066556437405,8476.899561596134,0.0013008198368606684,7164.386901124344
909.5,0.8,-800.0,-17.77777777777778,-2686.6666666666433,26.673280423280538,3.565277513227514,0.00178,0.0014357646362433878,8471.91623267197,0.0013015446164021146,7162.372987103179
910.0,0.8,-800.0,-17.77777777777778,-2695.555555555532,26.629188712522165,3.5649829805996482,0.00178,0.001435222616843035,8466.93290374781,0.0013022693959435607,7160.359073082016
910.5,0.8,-800.0,-17.77777777777778,-2704.4444444444207,26.585097001763785,3.5646884479717817,0.00178,0.0014346805974426824,8461.949574823648,0.001302994175485007,7158.345159060852
911.0,0.7,-700.0,-15.555555555555555,-2712.777777777754,26.543761022927807,3.564412323633158,0.00178,0.0014341724542548517,8457.277703957245,0.0013036736563051127,7156.457114666011
911.5,0.7,-700.0,-15.555555555555555,-2720.555555555532,26.505180776014228,3.564154607583775,0.00178,0.001433698187279543,8452.917291148602,0.0013043078384038782,7154.694939897492
912.0,0.7,-700.0,-15.555555555555555,-2728.33333333331,26.466600529100646,3.5638968915343923,0.00178,0.0014332239203042343,8448.556878339961,0.0013049420205026438,7152.932765128973
912.5,0.7,-700.0,-15.555555555555555,-2736.1111111110877,26.428020282187067,3.563639175485009,0.00178,0.0014327496533289258,8444.196465531319,0.0013055762026014089,7151.170590360455
913.0,0.9,-900.0,-20.0,-2744.9999999999764,26.38392857142869,3.563344642857144,0.00178,0.0014322076339285728,8439.213136607157,0.0013063009821428551,7149.156676339291
913.5,0.9,-900.0,-20.0,-2754.9999999999764,26.334325396825513,3.5630132936507946,0.00178,0.0014315978621031761,8433.606891567473,0.0013071163591269822,7146.891023065482
914.0,0.9,-900.0,-20.0,-2764.9999999999764,26.284722222222342,3.5626819444444453,0.00178,0.0014309880902777794,8428.000646527791,0.0013079317361111092,7144.625369791673
914.5,0.9,-900.0,-20.0,-2774.9999999999764,26.235119047619165,3.562350595238096,0.00178,0.0014303783184523825,8422.394401488109,0.0013087471130952362,7142.359716517863
915.0,0.9,-900.0,-20.0,-2784.9999999999764,26.18551587301599,3.5620192460317464,0.00178,0.0014297685466269855,8416.788156448427,0.0013095624900793632,7140.094063244052
915.5,0.9,-900.0,-20.0,-2794.9999999999764,26.135912698412817,3.5616878968253975,0.00178,0.001429158774801589,8411.181911408745,0.0013103778670634902,7137.828409970243
916.0,0.9,-900.0,-20.0,-2804.9999999999764,26.086309523809643,3.5613565476190487,0.00178,0.001428549002976192,8405.57566636906,0.0013111932440476172,7135.562756696434
916.5,0.9,-900.0,-20.0,-2814.9999999999764,26.03670634920647,3.5610251984126995,0.00178,0.0014279392311507952,8399.969421329379,0.0013120086210317442,7133.297103422625
917.0,0.9,-900.0,-20.0,-2824.9999999999764,25.98710317460329,3.56069384920635,0.00178,0.0014273294593253982,8394.363176289695,0.0013128239980158712,7131.031450148815
917.5,0.9,-900.0,-20.0,-2834.9999999999764,25.937500000000117,3.560362500000001,0.00178,0.0014267196875000017,8388.756931250013,0.0013136393749999982,7128.765796875005
918.0,0.8,-800.0,-17.77777777777778,-2844.4444444444207,25.890652557319342,3.5600495590828936,0.00178,0.0014261437918871268,8383.462144268091,0.0013144094532627848,7126.626013227518
918.5,0.8,-800.0,-17.77777777777778,-2853.3333333333094,25.846560846560966,3.5597550264550275,0.00178,0.001425601772486774,8378.47881534393,0.001315134232804231,7124.612099206355
919.0,0.8,-800.0,-17.77777777777778,-2862.222222222198,25.80246913580259,3.559460493827161,0.00178,0.0014250597530864214,8373.495486419768,0.001315859012345677,7122.59818518519
919.5,0.8,-800.0,-17.77777777777778,-2871.1111111110868,25.758377425044213,3.5591659611992954,0.00178,0.0014245177336860686,8368.512157495605,0.0013165837918871232,7120.584271164027
920.0,0.8,-800.0,-17.77777777777778,-2879.9999999999754,25.714285714285836,3.55887142857143,0.00178,0.001423975714285716,8363.528828571443,0.0013173085714285695,7118.570357142862
920.5,0.8,-800.0,-17.77777777777778,-2888.888888888864,25.67019400352746,3.5585768959435633,0.00178,0.0014234336948853632,8358.54549964728,0.0013180333509700158,7116.556443121699
921.0,0.8,-800.0,-17.77777777777778,-2897.777777777753,25.626102292769083,3.5582823633156977,0.00178,0.0014228916754850103,8353.562170723118,0.0013187581305114618,7114.542529100535
921.5,0.8,-800.0,-17.77777777777778,-2906.6666666666415,25.58201058201071,3.5579878306878316,0.00178,0.0014223496560846578,8348.578841798957,0.001319482910052908,7112.528615079371
922.0,0.8,-800.0,-17.77777777777778,-2915.55555555553,25.53791887125233,3.5576932980599656,0.00178,0.0014218076366843049,8343.595512874794,0.0013202076895943542,7110.514701058207
922.5,0.8,-800.0,-17.77777777777778,-2924.444444444419,25.493827160493957,3.5573987654321,0.00178,0.0014212656172839524,8338.612183950632,0.0013209324691358004,7108.500787037043
923.0,0.8,-800.0,-17.77777777777778,-2933.3333333333076,25.449735449735577,3.5571042328042335,0.00178,0.0014207235978835994,8333.628855026469,0.0013216572486772467,7106.486873015879
923.5,0.8,-800.0,-17.77777777777778,-2942.2222222221963,25.405643738977204,3.556809700176368,0.00178,0.001420181578483247,8328.645526102307,0.0013223820282186928,7104.472958994715
924.0,0.8,-800.0,-17.77777777777778,-2951.111111111085,25.361552028218824,3.5565151675485014,0.00178,0.001419639559082894,8323.662197178146,0.0013231068077601388,7102.4590449735515
924.5,0.8,-800.0,-17.77777777777778,-2959.9999999999736,25.31746031746045,3.556220634920636,0.00178,0.0014190975396825415,8318.678868253985,0.001323831587301585,7100.4451309523865
925.0,0.8,-800.0,-17.77777777777778,-2968.8888888888623,25.27336860670207,3.55592610229277,0.00178,0.0014185555202821886,8313.695539329821,0.0013245563668430314,7098.431216931223
925.5,0.8,-800.0,-17.77777777777778,-2977.777777777751,25.2292768959437,3.5556315696649037,0.00178,0.001418013500881836,8308.71221040566,0.0013252811463844777,7096.417302910059
926.0,0.8,-800.0,-17.77777777777778,-2986.6666666666397,25.18518518518532,3.555337037037038,0.00178,0.0014174714814814832,8303.728881481497,0.001326005925925924,7094.403388888895
926.5,0.8,-800.0,-17.77777777777778,-2995.5555555555284,25.141093474426945,3.555042504409172,0.00178,0.0014169294620811307,8298.745552557335,0.0013267307054673698,7092.389474867731
927.0,0.8,-800.0,-17.77777777777778,-3004.444444444417,25.097001763668565,3.554747971781306,0.00178,0.0014163874426807777,8293.762223633174,0.001327455485008816,7090.375560846567
927.5,0.7,-700.0,-15.555555555555555,-3012.7777777777505,25.055665784832588,3.5544718474426817,0.00178,0.001415879299492947,8289.09035276677,0.001328134965828922,7088.487516451725
928.0,0.7,-700.0,-15.555555555555555,-3020.5555555555284,25.01708553791901,3.554214131393299,0.00178,0.0014154050325176385,8284.729939958128,0.0013287691479276875,7086.725341683207
928.5,0.7,-700.0,-15.555555555555555,-3028.333333333306,24.978505291005426,3.553956415343916,0.00178,0.0014149307655423298,8280.369527149487,0.0013294033300264528,7084.963166914689
929.0,0.7,-700.0,-15.555555555555555,-3036.111111111084,24.939925044091844,3.5536986992945336,0.00178,0.0014144564985670211,8276.009114340844,0.0013300375121252182,7083.20099214617
929.5,0.7,-700.0,-15.555555555555555,-3043.888888888862,24.901344797178265,3.553440983245151,0.00178,0.0014139822315917126,8271.648701532202,0.0013306716942239837,7081.4388173776515
930.0,0.7,-700.0,-15.555555555555555,-3051.6666666666397,24.862764550264686,3.5531832671957684,0.00178,0.0014135079646164037,8267.288288723561,0.0013313058763227493,7079.676642609133
930.5,0.7,-700.0,-15.555555555555555,-3059.4444444444175,24.824184303351103,3.5529255511463855,0.00178,0.0014130336976410952,8262.927875914918,0.0013319400584215146,7077.914467840615
931.0,0.7,-700.0,-15.555555555555555,-3067.2222222221953,24.785604056437524,3.5526678350970027,0.00178,0.0014125594306657867,8258.567463106276,0.00133257424052028,7076.152293072097
931.5,0.7,-700.0,-15.555555555555555,-3074.999999999973,24.747023809523945,3.55241011904762,0.00178,0.0014120851636904778,8254.207050297635,0.0013332084226190455,7074.390118303578
932.0,0.7,-700.0,-15.555555555555555,-3082.777777777751,24.708443562610363,3.552152402998237,0.00178,0.0014116108967151693,8249.846637488992,0.001333842604717811,7072.627943535059
932.5,0.7,-700.0,-15.555555555555555,-3090.555555555529,24.66986331569678,3.5518946869488546,0.00178,0.0014111366297398606,8245.48622468035,0.0013344767868165763,7070.86576876654
933.0,0.7,-700.0,-15.555555555555555,-3098.3333333333067,24.6312830687832,3.5516369708994717,0.00178,0.001410662362764552,8241.125811871709,0.0013351109689153417,7069.103593998022
933.5,0.7,-700.0,-15.555555555555555,-3106.1111111110845,24.592702821869622,3.5513792548500893,0.00178,0.0014101880957892434,8236.765399063066,0.0013357451510141072,7067.341419229504
934.0,0.7,-700.0,-15.555555555555555,-3113.8888888888623,24.55412257495604,3.5511215388007065,0.00178,0.0014097138288139347,8232.404986254423,0.0013363793331128727,7065.579244460985
934.5,0.7,-700.0,-15.555555555555555,-3121.66666666664,24.51554232804246,3.5508638227513236,0.00178,0.001409239561838626,8228.044573445783,0.001337013515211638,7063.817069692466
935.0,0.7,-700.0,-15.555555555555555,-3129.444444444418,24.47696208112888,3.5506061067019408,0.00178,0.0014087652948633175,8223.684160637142,0.0013376476973104034,7062.054894923947
935.5,0.7,-700.0,-15.555555555555555,-3137.222222222196,24.4383818342153,3.5503483906525584,0.00178,0.0014082910278880086,8219.323747828497,0.001338281879409169,7060.292720155429
936.0,0.7,-700.0,-15.555555555555555,-3144.9999999999736,24.399801587301717,3.5500906746031755,0.00178,0.0014078167609127001,8214.963335019856,0.0013389160615079345,7058.530545386911
936.5,0.7,-700.0,-15.555555555555555,-3152.7777777777515,24.361221340388138,3.549832958553793,0.00178,0.0014073424939373917,8210.602922211214,0.0013395502436066998,7056.7683706183925
937.0,0.7,-700.0,-15.555555555555555,-3160.5555555555293,24.32264109347456,3.5495752425044103,0.00178,0.0014068682269620827,8206.242509402573,0.0013401844257054651,7055.006195849874
937.5,0.7,-700.0,-15.555555555555555,-3168.333333333307,24.284060846560976,3.5493175264550274,0.00178,0.0014063939599867742,8201.88209659393,0.0013408186078042307,7053.244021081355
938.0,0.6,-600.0,-13.333333333333334,-3175.5555555555293,24.248236331569796,3.549078218694886,0.00178,0.0014059535692239875,8197.833141843048,0.0013414074911816559,7051.607715939159
938.5,0.6,-600.0,-13.333333333333334,-3182.222222222196,24.215167548501014,3.5488573192239867,0.00178,0.001405547054673723,8194.095645149926,0.0013419510758377402,7050.097280423286
939.0,0.6,-600.0,-13.333333333333334,-3188.8888888888623,24.18209876543223,3.5486364197530875,0.00178,0.0014051405401234586,8190.358148456805,0.001342494660493825,7048.586844907413
939.5,0.6,-600.0,-13.333333333333334,-3195.555555555529,24.14902998236345,3.548415520282188,0.00178,0.001404734025573194,8186.620651763684,0.0013430382451499094,7047.07640939154
940.0,0.6,-600.0,-13.333333333333334,-3202.2222222221953,24.115961199294667,3.5481946208112882,0.00178,0.0014043275110229296,8182.883155070562,0.0013435818298059943,7045.565973875668
940.5,0.6,-600.0,-13.333333333333334,-3208.888888888862,24.082892416225885,3.547973721340389,0.00178,0.001403920996472665,8179.145658377441,0.001344125414462079,7044.055538359795
941.0,0.6,-600.0,-13.333333333333334,-3215.5555555555284,24.049823633157104,3.5477528218694894,0.00178,0.0014035144819224002,8175.40816168432,0.0013446689991181635,7042.545102843922
941.5,0.6,-600.0,-13.333333333333334,-3222.222222222195,24.01675485008832,3.54753192239859,0.00178,0.0014031079673721357,8171.670664991198,0.0013452125837742483,7041.034667328049
942.0,0.6,-600.0,-13.333333333333334,-3228.8888888888614,23.983686067019537,3.5473110229276905,0.00178,0.0014027014528218713,8167.9331682980755,0.0013457561684303329,7039.5242318121755
942.5,0.6,-600.0,-13.333333333333334,-3235.555555555528,23.950617283950756,3.547090123456791,0.00178,0.0014022949382716068,8164.1956716049535,0.0013462997530864175,7038.013796296303
943.0,0.6,-600.0,-13.333333333333334,-3242.2222222221944,23.917548500881974,3.546869223985891,0.00178,0.0014018884237213423,8160.458174911832,0.0013468433377425023,7036.50336078043
943.5,0.6,-600.0,-13.333333333333334,-3248.888888888861,23.88447971781319,3.546648324514992,0.00178,0.0014014819091710776,8156.720678218711,0.0013473869223985867,7034.992925264556
944.0,0.6,-600.0,-13.333333333333334,-3255.5555555555275,23.851410934744408,3.546427425044093,0.00178,0.0014010753946208131,8152.983181525589,0.0013479305070546715,7033.482489748683
944.5,0.6,-600.0,-13.333333333333334,-3262.222222222194,23.818342151675626,3.5462065255731936,0.00178,0.0014006688800705484,8149.245684832467,0.001348474091710756,7031.9720542328105
945.0,0.6,-600.0,-13.333333333333334,-3268.8888888888605,23.785273368606845,3.5459856261022935,0.00178,0.001400262365520284,8145.508188139346,0.0013490176763668407,7030.461618716938
