Batterie Ladung [C],Zeit [s]
-1702.9373655502075,117.0
-1702.9373655502075,117.5
-1702.9373655502075,118.0
-1807.2274313963756,118.5
-1841.872814471337,119.0
-1855.1198997681736,119.5
-1889.6491662986953,120.0
-1921.7437019890328,120.5
-1941.6466027832753,121.0
-1966.7616380644902,121.5
-2007.4445634701501,122.0
-2071.355610462317,122.5
-2107.179578584642,123.0
-2136.327841250943,123.5
-2161.9508009150777,124.0
-2187.495528781633,124.5
-2187.495528781633,125.0
-2213.4147488104654,125.5
-2231.202809182349,126.0
-2255.4507017270575,126.5
-2279.888718998134,127.0
-2309.908715914771,127.5
-2364.7868410357387,128.0
-2401.748701931482,128.5
-2418.7504339910993,129.0
-2436.489264333216,129.5
-2455.3528768581664,130.0
-2474.2423207701904,130.5
-2494.246384426607,131.0
-2514.2794870165035,131.5
-2544.3371056864275,132.0
-2582.6445923006454,132.5
-2594.032910230134,133.0
-2594.032910230134,133.5
-2657.2626475301904,134.0
-2721.8022459281747,134.5
-2777.218347267389,135.0
-2826.343647983409,135.5
-2874.0508553082236,136.0
-2922.9314439133113,136.5
-2971.9665568661326,137.0
-3018.7578716756416,137.5
-3064.334760783117,138.0
-3107.5764560408975,138.5
-3149.5897901324165,139.0
-3188.090428365629,139.5
-3220.655730460793,140.0
-3243.7722727131236,140.5
-3265.499490424003,141.0
-3288.325443510455,141.5
-3312.3128981154587,142.0
-3336.324931802875,142.5
-3355.7597420202087,143.0
-3362.581802770952,143.5
-3369.3033584611812,144.0
-3369.3033584611812,144.5
-3353.780770450454,145.0
-3361.3969675163585,145.5
-3366.963225957448,146.0
-3373.621017853726,146.5
-3382.4994927961443,147.0
-3392.503317345622,147.5
-3401.4003743472517,148.0
-3410.281023643051,148.5
-3420.265037156555,149.0
-3429.14515567941,149.5
-3438.009791631906,150.0
-3446.8692867937702,150.5
-3455.723993953064,151.0
-3464.5741607617074,151.5
-3473.4200217107077,152.0
-3482.261799653416,152.5
-3491.0997064531753,153.0
-3499.9339435844313,153.5
-3508.7647026974882,154.0
-3517.5921661493708,154.5
-3524.210422164598,155.0
-3507.710984220766,155.5
-3490.56162923043,156.0
-3444.6010023144786,156.5
-3397.016288589771,157.0
-3351.7483219972823,157.5
-3308.592834979551,158.0
-3266.5141388828306,158.5
-3225.542053258405,159.0
-3185.662846072187,159.5
-3145.8447022397686,160.0
-3107.140686839361,160.5
-3064.414108274333,161.0
-3064.414108274333,161.5
-3064.414108274333,162.0
-3065.4690125037973,162.5
-3063.3557826343917,163.0
-3069.677537227319,163.5
-3066.4870723715526,164.0
-3075.9696371805403,164.5
-3084.5154280916786,165.0
-3090.924861938312,165.5
-3096.258607289705,166.0
-3100.5237339063974,166.5
-3100.5237339063974,167.0
-3100.5237339063974,167.5
-3100.5237339063974,168.0
-3099.4619815968545,168.5
-3098.401263656044,169.0
-3097.3404495042782,169.5
