R2 [Ohm],Zeit [s]
0.0009544672104573369,67.0
0.0009540735035162493,67.5
0.0009537138859501584,68.0
0.0009533991577045035,68.5
0.0009531251109244315,69.0
0.0009528962050833982,69.5
0.0009535541761141504,70.0
0.0009542418177295826,70.5
0.0009549564442434311,71.0
0.0009556956456022506,71.5
0.0009564572561126964,72.0
0.0009572393267666379,72.5
0.0009580401008626988,73.0
0.0009588579925275517,73.5
0.0009596915677867594,74.0
0.0009605395278766788,74.5
0.0009614006945259156,75.0
0.0009622739969675373,75.5
0.0009631584604721998,76.0
0.0009640531962177728,76.5
0.0009649573923336109,77.0
0.0009658703059773247,77.5
0.0009667912563193302,78.0
0.0009677196183257576,78.5
0.0009686548172436968,79.0
0.0009695963237045549,79.5
0.000970543649371654,80.0
0.000971496343067232,80.5
0.0009724539873219994,81.0
0.0009734161952973368,81.5
0.0009743826080363478,82.0
0.0009753528920053293,82.5
0.0009763267368918989,83.0
0.0009773038536301393,83.5
0.0009779199672206005,84.0
0.0009785583667733283,84.5
0.0009782926802128055,85.0
0.00098184369044551,85.5
0.0009769638997597506,86.0
0.0009699185543061845,86.5
0.000966440961041324,87.0
0.0009648052037990146,87.5
0.0009695011059370647,88.0
0.000969478874809874,88.5
0.0009700194339207061,89.0
0.0009732835462434238,89.5
0.0009761887617266856,90.0
0.0009787373170104558,90.5
0.0009816934189030208,91.0
0.000981684504687931,91.5
0.0009806990589358525,92.0
0.0009827927555944955,92.5
0.0009848066557785284,93.0
0.0009862649886774248,93.5
0.0009885271480442612,94.0
0.000990929134894992,94.5
0.000994117932301913,95.0
0.0009940228279398558,95.5
0.0009945207402293384,96.0
0.0009950244023969406,96.5
0.0009955328603318502,97.0
0.0009960452738824728,97.5
0.0009965609033407083,98.0
0.0009970790975278238,98.5
0.0009975992832931687,99.0
0.000998120956258911,99.5
0.0009986436726634345,100.0
0.0009991670421733042,100.5
0.0009996907215489804,101.0
0.001000214409062969,101.5
0.0010007378395810852,102.0
0.001001260780228021,102.5
0.0010017830265677667,103.0
0.0010023043992376727,103.5
0.0010028247409821758,104.0
0.0010033439140386576,104.5
0.0010038617978335304,105.0
0.0010043782869516432,105.5
0.0010048932893464855,106.0
0.0010054067247625565,106.5
0.0010059185233446306,107.0
0.0010064286244117363,107.5
0.0010069369753762248,108.0
0.0010074435307907083,108.5
0.0010079482515076641,109.0
0.0010084511039383176,109.5
0.0010089520593990237,110.0
0.0010094510935347613,110.5
0.0010099481858105801,111.0
0.0010104433190629568,111.5
0.0010109364791039534,112.0
0.0010114276543719196,112.5
0.0010119168356232347,113.0
0.0010124040156602294,113.5
0.0010128891890910064,114.0
