"Time","R2"
"342.5","0.0012291484909093"
"343","0.0012307179481098"
"343.5","0.0012324568712124"
"344","0.0012342026521238"
"344.5","0.0012359535836465"
"345","0.0012378676739649"
"345.5","0.0012397862100426"
"346","0.001241707533528"
"346.5","0.0012436314434795"
"347","0.0012455577642995"
"347.5","0.0012474863311056"
"348","0.0012492587535608"
"348.5","0.0012510332152686"
"349","0.0012528107817169"
"349.5","0.0012545912431174"
"350","0.0012557199174757"
"350.5","0.0012530532254016"
"351","0.0012500816311229"
"351.5","0.0012390710016594"
"352","0.0012286636702225"
"352.5","0.0012185998617283"
"353","0.001209117475284"
"353.5","0.0012001703989482"
"354","0.0011914846381893"
"354.5","0.0011830551202158"
"355","0.0011748684173765"
"355.5","0.0011669139510783"
"356","0.0011579774614751"
"356.5","0.0011584047618155"
"357","0.0011507740590656"
"357.5","0.0011503456940959"
"358","0.0011495437635912"
"358.5","0.0011509532224145"
"359","0.0011510652785617"
"359.5","0.0011528308098996"
"360","0.0011544761212258"
"360.5","0.0011558207211108"
"361","0.0011568509043224"
"361.5","0.0011573846242123"
"362","0.0011577514650531"
"362.5","0.0011581217039073"
"363","0.0011584945634842"
"363.5","0.0011588695375795"
"364","0.0011592461726832"
"364.5","0.0011596240624369"
"365","0.0011600028426443"
"365.5","0.0011602073187054"
"366","0.0011604116147225"
"366.5","0.0011606151607064"
"367","0.0011608177920995"
"367.5","0.001161019360262"
"368","0.0011612197314684"
"368.5","0.0011614187854032"
"369","0.0011616164138187"
"369.5","0.0011618125193318"
"370","0.0011620070143474"
"370.5","0.0011621998200938"
"371","0.0011620331302349"
"371.5","0.0011601603141269"
"372","0.0011611949942207"
"372.5","0.0011590949301932"
"373","0.0011560237137971"
"373.5","0.0011477264166523"
"374","0.0011319529194535"
"374.5","0.0011154079930078"
"375","0.0011004126586047"
"375.5","0.0011006947004392"
"376","0.0010875620104043"
"376.5","0.0010837141607266"
"377","0.0010768979185117"
"377.5","0.0010661540746008"
"378","0.0010609930430861"
"378.5","0.0010532732038225"
"379","0.0010324124195977"
"379.5","0.001038376675105"
"380","0.0010287738293732"
"380.5","0.0010251884555444"
"381","0.0010211158383211"
"381.5","0.0010158314155402"
"382","0.0010084245482066"
"382.5","0.0010084803190383"
"383","0.0010085921242547"
"383.5","0.0010087505247287"
"384","0.0010089504135201"
"384.5","0.0010091872663243"
"385","0.0010094570604571"
"385.5","0.001009756217314"
"386","0.001010081551508"
"386.5","0.0010104302258749"
"387","0.0010107997116851"
"387.5","0.001011187753469"
"388","0.0010115923379282"
"388.5","0.0010120116664595"
"389","0.0010124441308768"
"389.5","0.0010128882919557"
"390","0.0010133428604738"
"390.5","0.0010138066804536"
"391","0.0010142787143501"
"391.5","0.0010147580299551"
"392","0.0010152437888153"
"392.5","0.0010157352359874"
"393","0.0010162316909721"
"393.5","0.0010167325396881"
"394","0.0010172372273646"
"394.5","0.0010177452522424"
"395","0.0010182561599917"
"395.5","0.001018769538759"
"396","0.0010192850147721"
"396.5","0.0010198022484367"
"397","0.0010203209308672"
"397.5","0.0010208407808016"
"398","0.0010213615418558"
"398.5","0.0010218829800778"
"399","0.0010224048817672"
"399.5","0.0010229270515297"
"400","0.0010234493105397"
"400.5","0.0010239714949868"
"401","0.001024493454686"
"401.5","0.0010250150518323"
"402","0.0010300252484609"
"402.5","0.0010387102128896"
"403","0.0010421574385029"
"403.5","0.0010482529807674"
"404","0.0010521657627468"
"404.5","0.001058357989066"
"405","0.0010636558294688"
"405.5","0.0010638196420687"
"406","0.001063653189128"
"406.5","0.0010607858778525"
"407","0.0010591773059494"
"407.5","0.0010581362326545"
"408","0.0010567155960718"
"408.5","0.0010553042806277"
"409","0.0010540864213552"
"409.5","0.0010528679557101"
"410","0.0010516496231518"
"410.5","0.0010504304166035"
"411","0.0010492094945017"
"411.5","0.0010479861425087"
"412","0.001046759757528"
"412.5","0.0010455298334616"
"413","0.0010431308240177"
"413.5","0.0010446781715142"
"414","0.0010448862420951"
"414.5","0.0010426514663605"
"415","0.0010410330599236"
"415.5","0.0010378114433675"
"416","0.0010339990046969"
"416.5","0.0010299865312462"
"417","0.0010255520863859"
"417.5","0.0010260489860936"
"418","0.0010265497683927"
"418.5","0.0010270522891652"
"419","0.0010275561236988"
"419.5","0.0010280609023962"
"420","0.0010285662979258"
"420.5","0.0010290720202748"
"421","0.001029577812418"
"421.5","0.0010300834465011"
"422","0.0010305887204767"
"422.5","0.0010310934551375"
"423","0.0010315974915008"
"423.5","0.0010321006885007"
"424","0.0010326029209525"
"424.5","0.0010331040777557"
"425","0.0010336040603076"
"425.5","0.0010341027811024"
"426","0.0010346001624937"
"426.5","0.0010350961356001"
"427","0.0010355906393387"
"427.5","0.001036083619569"
"428","0.0010365750283364"
"428.5","0.0010370648232021"
"429","0.0010375529666489"
"429.5","0.0010380394255555"
"430","0.0010385241707299"
"430.5","0.0010390071764957"
"431","0.001039488420324"
"431.5","0.0010399678825078"
"432","0.0010404455458708"
"432.5","0.0010409213955101"
"433","0.0010413954185657"
"433.5","0.0010418676040162"
"434","0.0010423379424957"
"434.5","0.0010428064261311"
"435","0.0010432730483964"
"435.5","0.0010437378039828"
"436","0.0010442006886818"
"436.5","0.0010446616992812"
"437","0.0010451208334712"
"437.5","0.0010455780897608"
"438","0.0010460334674022"
"438.5","0.0010464869663229"
"439","0.0010469385870643"
"439.5","0.0010473883307272"
"440","0.0010478361989213"
"440.5","0.0010566265343932"
"441","0.0010603747505759"
"441.5","0.0010628686938161"
"442","0.0010678308848671"
"442.5","0.0010720859021109"
"443","0.0010750320280722"
"443.5","0.0010783943104574"
"444","0.0010817582250447"
"444.5","0.0010858137620814"
"445","0.0010887298939094"
"445.5","0.00109162269594"
"446","0.0010955129125432"
"446.5","0.001089004760461"
"447","0.0010904333547901"
"447.5","0.0010973875760431"
"448","0.0011031143384478"
"448.5","0.0011091675952739"
"449","0.0011157396617544"
"449.5","0.0011223605628891"
"450","0.0011283044886995"
"450.5","0.0011320774443995"
"451","0.0011355062888337"
"451.5","0.0011362474983896"
"452","0.0011364826941884"
"452.5","0.0011367500739335"
"453","0.0011373975834517"
"453.5","0.0011364183054468"
"454","0.001135677704339"
"454.5","0.0011349653747"
"455","0.0011342788005139"
"455.5","0.0011336145878465"
"456","0.0011329697267258"
"456.5","0.0011323415417272"
"457","0.0011328157762215"
"457.5","0.0011344816523257"
"458","0.001135824628052"
"458.5","0.0011366563830131"
"459","0.001137140930595"
"459.5","0.0011374526437958"
"460","0.0011377692771416"
"460.5","0.0011380899203449"
"461","0.0011384139529787"
"461.5","0.0011387408172131"
"462","0.0011390700114302"
"462.5","0.0011394010844158"
"463","0.001139733630172"
"463.5","0.0011400672832814"
"464","0.0011404017147642"
"464.5","0.0011407366283731"
"465","0.0011410717572802"
"465.5","0.0011414068611116"
"466","0.0011417417232942"
"466.5","0.001142076148679"
"467","0.0011424099614125"
"467.5","0.0011427430030286"
"468","0.0011430751307388"
"468.5","0.0011434062158967"
"469","0.001143736142622"
"469.5","0.0011440648065632"
"470","0.0011443921137874"
"470.5","0.0011447179797816"
"471","0.001145042328555"
"471.5","0.0011453650918311"
"472","0.0011456862083201"
"472.5","0.001146005623064"
"473","0.0011463232868458"
"473.5","0.0011466391556572"
"474","0.0011469531902173"
"474.5","0.0011472653555394"
"475","0.0011466577242466"
"475.5","0.001148485078541"
"476","0.00114122532944"
"476.5","0.0011339316067543"
"477","0.0011166324992609"
"477.5","0.0011090419852334"
"478","0.0011073413322391"
"478.5","0.0010930103683706"
"479","0.0010892197352115"
"479.5","0.0010811808120072"
"480","0.0010746921293252"
"480.5","0.001069033050827"
"481","0.001062674567831"
"481.5","0.0010629360204489"
"482","0.0010646970692432"
"482.5","0.001058756757564"
"483","0.0010541554208812"
"483.5","0.0010505470219512"
"484","0.0010462940523355"
"484.5","0.0010418385667488"
"485","0.0010397656824407"
"485.5","0.0010400138701326"
"486","0.0010402851672432"
"486.5","0.0010405767589833"
"487","0.0010408862855181"
"487.5","0.0010412116524743"
"488","0.0010415509997649"
"488.5","0.0010419026746325"
"489","0.0010422652078264"
"489.5","0.0010426372925526"
"490","0.0010430177658734"
"490.5","0.0010434055922728"
"491","0.0010437998491358"
"491.5","0.0010441997139171"
"492","0.0010446044528031"
"492.5","0.0010450134106912"
"493","0.0010454260023328"
"493.5","0.0010458417045029"
"494","0.0010462600490764"
"494.5","0.0010466806169046"
"495","0.0010471030323979"
"495.5","0.0010475269587313"
"496","0.0010479520936011"
"496.5","0.0010483781654669"
"497","0.0010488049302226"
"497.5","0.0010492321682466"
"498","0.0010496596817855"
"498.5","0.0010500872926348"
"499","0.0010505148400795"
"499.5","0.0010509421790663"
"500","0.0010513691785792"
"500.5","0.0010517957201959"
"501","0.0010522216968038"
"501.5","0.0010526470114566"
"502","0.0010530715763567"
"502.5","0.0010534953119476"
"503","0.0010539181461045"
"503.5","0.0010543400134119"
"504","0.0010547608545182"
"504.5","0.0010551806155582"
"505","0.001055599247637"
"505.5","0.0010560167063668"
"506","0.0010564329514524"
"506.5","0.0010568479463185"
"507","0.0010572616577753"
"507.5","0.0010576740557176"
"508","0.001058085112854"
"508.5","0.0010668324629979"
"509","0.0010708735760913"
"509.5","0.0010735117924583"
"510","0.001078467753468"
"510.5","0.0010827133831732"
"511","0.0010856476253969"
"511.5","0.0010891434394468"
"512","0.0010927864429709"
"512.5","0.0010971057109874"
"513","0.0011000142068155"
"513.5","0.0011025888771269"
"514","0.001105461418948"
"514.5","0.001108334378912"
"515","0.0011087080332783"
"515.5","0.0011121274073768"
"516","0.0011146990181954"
"516.5","0.0011178575152282"
"517","0.0011208722689136"
"517.5","0.0011237293975264"
"518","0.0011265795362594"
"518.5","0.0011289638404671"
