Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
346.5,0.9,-900.0,-20.0,-3308.8888888888723,23.58686067019409,3.5446602292768965,0.00178,0.0013978232782186962,8123.08320798061,0.0013522791843033496,7021.399005621697
347.0,0.9,-900.0,-20.0,-3318.8888888888723,23.53725749559091,3.5443288800705472,0.00178,0.0013972135063932993,8117.476962940927,0.0013530945612874766,7019.133352347888
347.5,0.8,-800.0,-17.77777777777778,-3327.777777777761,23.49316578483253,3.544034347442681,0.00178,0.0013966714869929463,8112.493634016764,0.0013538193408289228,7017.119438326723
348.0,0.8,-800.0,-17.77777777777778,-3336.6666666666497,23.44907407407416,3.5437398148148156,0.00178,0.0013961294675925938,8107.510305092603,0.0013545441203703691,7015.10552430556
348.5,0.8,-800.0,-17.77777777777778,-3345.5555555555384,23.40498236331578,3.5434452821869495,0.00178,0.001395587448192241,8102.52697616844,0.0013552688999118152,7013.091610284396
349.0,0.8,-800.0,-17.77777777777778,-3354.444444444427,23.360890652557405,3.5431507495590835,0.00178,0.0013950454287918884,8097.543647244278,0.0013559936794532614,7011.077696263232
349.5,0.4,-400.0,-8.88888888888889,-3358.8888888888714,23.33884479717822,3.5430034832451507,0.00178,0.001394774419091712,8095.051982782197,0.0013563560692239846,7010.070739252649
350.0,-1.6,1600.0,35.55555555555556,-3341.1111111110936,23.42702821869497,3.543592548500883,0.00178,0.0013958584578924174,8105.018640630522,0.001354906510141092,7014.098567294977
350.5,-1.8,1800.0,40.0,-3321.1111111110936,23.526234567901323,3.544255246913581,0.00178,0.001397078001543211,8116.231130709886,0.001353275756172838,7018.629873842597
351.0,-5.1,5100.0,113.33333333333331,-3264.444444444427,23.807319223985974,3.5461328924162263,0.00178,0.0014005333752204596,8147.999852601421,0.0013486552865961186,7031.4685757275165
351.5,-5.1,5100.0,113.33333333333331,-3207.7777777777605,24.088403880070636,3.5480105379188718,0.00178,0.0014039887488977085,8179.768574492956,0.0013440348170193988,7044.307277612438
352.0,-5.0,5000.0,111.11111111111111,-3152.222222222205,24.36397707231049,3.5498513668430345,0.00178,0.001407376370149913,8210.914380268969,0.00133950494488536,7056.894240244713
352.5,-4.8,4800.0,106.66666666666669,-3098.8888888888714,24.62852733686076,3.55161856261023,0.00178,0.0014106284865520293,8240.814353813943,0.0013351562676366829,7068.977724371697
353.0,-4.6,4600.0,102.22222222222224,-3047.77777777776,24.882054673721427,3.553312125220459,0.00178,0.0014137450981040575,8269.468495127876,0.0013309887852733671,7080.55772999339
353.5,-4.5,4500.0,100.0,-2997.77777777776,25.1300705467373,3.554968871252205,0.00178,0.0014167939572310418,8297.499720326288,0.0013269119003527323,7091.885996362438
354.0,-4.4,4400.0,97.77777777777776,-2948.8888888888714,25.372574955908377,3.556588800705468,0.00178,0.0014197750639329818,8324.90802940918,0.0013229256128747782,7102.96252347884
354.5,-4.3,4300.0,95.55555555555556,-2901.1111111110936,25.60956790123465,3.5581719135802476,0.00178,0.0014226884182098778,8351.693422376553,0.0013190299228395047,7113.787311342596
355.0,-4.2,4200.0,93.33333333333331,-2854.444444444427,25.841049382716136,3.559718209876544,0.00178,0.0014255340200617296,8377.855899228405,0.0013152248302469123,7124.360359953707
355.5,-4.6,4600.0,102.22222222222224,-2803.333333333316,26.094576719576807,3.5614117724867733,0.00178,0.0014286506316137579,8406.510040542338,0.0013110573478835965,7135.940365575401
356.0,0.0,-0.0,-0.0,-2803.333333333316,26.094576719576807,3.5614117724867733,0.00178,0.0014286506316137579,8406.510040542338,0.0013110573478835965,7135.940365575401
356.5,-3.9,3900.0,86.66666666666667,-2759.9999999999823,26.3095238095239,3.562847619047619,0.00178,0.0014312929761904774,8430.80376904763,0.0013075240476190463,7145.7581964285755
357.0,-0.5,500.0,11.11111111111111,-2754.4444444444266,26.337081128747883,3.5630317019400364,0.00178,0.0014316317383156977,8433.91834962523,0.0013070710604056422,7147.016892691803
357.5,-0.7,700.0,15.555555555555555,-2746.666666666649,26.375661375661466,3.563289417989419,0.00178,0.0014321060052910066,8438.278762433873,0.001306436878306877,7148.779067460322
358.0,0.6,-600.0,-13.333333333333334,-2753.3333333333157,26.34259259259268,3.563068518518519,0.00178,0.001431699490740742,8434.54126574075,0.0013069804629629615,7147.268631944448
358.5,-0.2,200.0,4.444444444444445,-2751.111111111093,26.353615520282275,3.5631421516754855,0.00178,0.0014318349955908301,8435.787097971792,0.0013067992680776,7147.77211044974
359.0,0.8,-800.0,-17.77777777777778,-2759.999999999982,26.309523809523903,3.56284761904762,0.00178,0.0014312929761904774,8430.80376904763,0.001307524047619046,7145.7581964285755
359.5,0.7,-700.0,-15.555555555555555,-2767.77777777776,26.27094356261032,3.562589902998237,0.00178,0.0014308187092151687,8426.443356238988,0.0013081582297178116,7143.9960216600575
360.0,0.5,-500.0,-11.11111111111111,-2773.3333333333157,26.243386243386333,3.5624058201058206,0.00178,0.0014304799470899483,8423.328775661386,0.0013086112169312155,7142.737325396829
360.5,0.3,-300.0,-6.666666666666667,-2776.666666666649,26.22685185185194,3.562295370370371,0.00178,0.001430276689814816,8421.460027314824,0.0013088830092592577,7141.982107638893
361.0,0.0,-0.0,-0.0,-2776.666666666649,26.22685185185194,3.562295370370371,0.00178,0.001430276689814816,8421.460027314824,0.0013088830092592577,7141.982107638893
361.5,-0.1,100.0,2.2222222222222223,-2775.555555555537,26.232363315696738,3.5623321869488542,0.00178,0.0014303444422398602,8422.082943430345,0.001308792411816577,7142.233846891539
362.0,-0.1,100.0,2.2222222222222223,-2774.444444444426,26.23787477954154,3.562369003527338,0.00178,0.0014304121946649043,8422.705859545866,0.0013087018143738962,7142.485586144185
362.5,-0.1,100.0,2.2222222222222223,-2773.333333333315,26.243386243386336,3.5624058201058206,0.00178,0.0014304799470899483,8423.328775661386,0.0013086112169312155,7142.73732539683
363.0,-0.1,100.0,2.2222222222222223,-2772.2222222222035,26.248897707231134,3.5624426366843043,0.00178,0.0014305476995149923,8423.951691776907,0.0013085206194885348,7142.989064649475
363.5,-0.1,100.0,2.2222222222222223,-2771.111111111092,26.25440917107593,3.562479453262787,0.00178,0.0014306154519400365,8424.574607892428,0.001308430022045854,7143.240803902121
364.0,-0.1,100.0,2.2222222222222223,-2769.999999999981,26.25992063492073,3.5625162698412707,0.00178,0.0014306832043650807,8425.197524007948,0.001308339424603173,7143.492543154766
364.5,-0.1,100.0,2.2222222222222223,-2768.8888888888696,26.26543209876553,3.5625530864197534,0.00178,0.0014307509567901247,8425.820440123469,0.0013082488271604921,7143.744282407411
365.0,-0.2,200.0,4.444444444444445,-2766.6666666666474,26.276455026455125,3.5626267195767203,0.00178,0.001430886461640213,8427.066272354508,0.0013080676322751307,7144.247760912703
365.5,-0.2,200.0,4.444444444444445,-2764.444444444425,26.28747795414472,3.562700352733687,0.00178,0.0014310219664903012,8428.31210458555,0.0013078864373897692,7144.751239417994
366.0,-0.2,200.0,4.444444444444445,-2762.222222222203,26.29850088183431,3.5627739858906526,0.00178,0.0014311574713403892,8429.557936816589,0.0013077052425044078,7145.254717923284
366.5,-0.2,200.0,4.444444444444445,-2759.999999999981,26.309523809523903,3.56284761904762,0.00178,0.0014312929761904774,8430.80376904763,0.001307524047619046,7145.7581964285755
367.0,-0.2,200.0,4.444444444444445,-2757.7777777777587,26.320546737213498,3.5629212522045863,0.00178,0.0014314284810405657,8432.04960127867,0.0013073428527336844,7146.261674933867
367.5,-0.2,200.0,4.444444444444445,-2755.555555555537,26.331569664903093,3.5629948853615527,0.00178,0.0014315639858906537,8433.295433509711,0.001307161657848323,7146.765153439158
368.0,-0.2,200.0,4.444444444444445,-2753.3333333333144,26.342592592592688,3.563068518518519,0.00178,0.0014316994907407421,8434.541265740752,0.0013069804629629615,7147.268631944449
368.5,-0.2,200.0,4.444444444444445,-2751.111111111092,26.353615520282283,3.563142151675486,0.00178,0.0014318349955908301,8435.787097971792,0.0013067992680776,7147.77211044974
369.0,-0.2,200.0,4.444444444444445,-2748.88888888887,26.36463844797188,3.5632157848324524,0.00178,0.0014319705004409186,8437.032930202833,0.0013066180731922381,7148.275588955031
