Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
498.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.017245235287232874,-0.0,10.200322735009534,0.007170825817784492,6.804418605884542,0.24172894799372235,3.1424763239183906,47.496758329443445,293.15,296.0039530360774,3.629180733467555,0.0019572593491037696,0.0016905927083286816,0.0010534202962976399,10410.498908381524,7763.336590340829,-0.0001035254017914803,0.0,0.24172894799372235
499.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.016755251744180688,-0.0,9.910134070055763,0.006732490400033177,6.385886950882021,0.2247002661850402,2.9211034604055226,47.484690182952995,293.15,295.9921451958121,3.629180733467555,0.001958240216728185,0.001690655848372699,0.0010538484230795378,10408.84217403517,7761.657318032393,-0.0001035254017914803,0.0,0.2247002661850402
499.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.016279131958447383,-0.0,9.628166868698058,0.006321027462924627,5.993174931374725,0.20903971375487662,2.717516278813396,47.47315160755605,293.15,295.9803433266925,3.629180733467555,0.0019592209184757983,0.0016907189777389568,0.0010542764774599217,10407.18571986301,7759.978329709596,-0.0001035254017914803,0.0,0.20903971375487662
500.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.015816485328575082,-0.0,9.354189291135004,0.005934784678792626,5.624685599577728,0.19462122230481788,2.5300758899626326,47.46211604517399,293.15,295.9685510183328,3.629180733467555,0.0019602011242891093,0.0016907820751811172,0.0010547043153760738,10405.530103348621,7758.3001904399425,-0.0001035254017914803,0.0,0.19462122230481788
500.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.015366932227128623,-0.0,9.087976001086938,0.0055722116040277745,5.2789209143045905,0.18133169560335036,2.357312042843555,47.45155840488326,293.15,295.9567715154453,3.6291807334675554,0.001961180536032233,0.0016908451215076883,0.0010551318066983474,10403.875828058393,7756.623410640258,-0.0001035254017914803,0.0,0.18133169560335036
501.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.014930103690765374,-0.0,8.829307984501742,0.005231853383261156,4.954475627061054,0.1690695756659073,2.197904483656795,47.44145497704056,293.15,295.9450077529351,3.629180733467555,0.001962158884215151,0.0016909080993711594,0.0010555588338003771,10402.223349174405,7754.948451684849,-0.0001035254017914803,0.0,0.1690695756659073
501.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.014505641119427669,-0.0,8.577972373257774,0.004912344842676292,4.650031542005385,0.15774357379803794,2.050666459374493,47.43178335258556,293.15,295.9332623871468,3.629180733467555,0.0019631359250789388,0.0016909709930803725,0.0010559852902868431,10400.573078417641,7753.275730895693,-0.0001035254017914803,0.0,0.15774357379803794
502.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.014093195984337049,-0.0,8.333762273732102,0.004612404948519578,4.364352127717783,0.14727154724249475,1.9145301141524318,47.42252234720536,293.15,295.92153782370514,3.6291807334675554,0.001964111438000537,0.001691033788433462,0.0010564110798607146,10398.925388431453,7751.605625985523,-0.0001035254017914803,0.0,0.14727154724249475
502.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.013692429544487536,-0.0,8.09647660010487,0.004330831608322456,4.0962774598782845,0.1375795043615483,1.788533556700128,47.413651930064745,293.15,295.90983624233814,3.629180733467555,0.001965085223180458,0.00169109647256901,0.0010568361153139828,10397.280616687145,7749.938479016551,-0.0001035254017914803,0.0,0.1375795043615483
503.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.013303012571351415,-0.0,7.865919912273216,0.004066496793709972,3.8447194750751748,0.1286007233052276,1.6718094029679587,47.405153156824014,293.15,295.89815961902593,3.6291807334675554,0.001966057099581105,0.0016911590338333324,0.001057260317627786,10395.639068966246,7748.274599930113,-0.0001035254017914803,0.0,0.1286007233052276
503.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.012924625081525781,-0.0,7.641902258250921,0.0038183419649536667,3.6086575170496027,0.1202749708963215,1.5635746216521795,47.39700810668245,293.15,295.8865097457794,3.629180733467555,0.0019670269030871834,0.0016912214616620605,0.0010576836151694686,10394.001022467673,7746.614269696098,-0.0001035254017914803,0.0,0.1202749708963215
504.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.012556956077061513,-0.0,7.42423902093281,0.003585373778635751,3.387134157723967,0.11254781003205437,1.463121530416707,47.38919982320228,293.15,295.874888248316,3.629180733467555,0.001967994484862991,0.0016912837464743982,0.001058105942975575,10392.366728582358,7744.957743125317,-0.0001035254017914803,0.0,0.11254781003205437
504.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.012199703293228559,-0.0,7.212750769105684,0.0033666600609297973,3.1792512763600356,0.10536998528528448,1.3698098087086983,47.38171225868228,293.15,295.8632966018698,3.629180733467555,0.0019689597098843476,0.0016913458795786195,0.0010585272421110696,10390.73641537287,7743.305251382877,-0.0001035254017914803,0.0,0.10536998528528448
505.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.011852572953482663,-0.0,7.007263112590409,0.003161326030074365,2.984166381146651,0.09869687760687684,1.283059408889399,47.374530221864454,293.15,295.8517361453456,3.629180733467555,0.001969922455625487,0.0016914078530875416,0.001058947459096196,10389.110289791344,7741.65700423625,-0.0001035254017914803,0.0,0.09869687760687684
505.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.01151527953140894,-0.0,6.807606561402598,0.0029685507526236183,2.8010891584257935,0.09248802010501755,1.2023442613652282,47.367639328770636,293.15,295.84020809400096,3.629180733467555,0.0019708826108834976,0.001691469659842852,0.001059366545393371,10387.488539665044,7740.013192067876,-0.0001035254017914803,0.0,0.09248802010501755
506.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.011187545519427222,-0.0,6.613616388822127,0.0027875638190064354,2.6292782356305033,0.08670666782381527,1.1271866817095986,47.36102595647785,293.15,295.828713550821,3.629180733467555,0.001971840074725003,0.0016915312933473055,0.0010597844569474317,10385.871335475478,7738.373987678468,-0.0001035254017914803,0.0,0.08670666782381527
506.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.01086910120405293,-0.0,6.425132498264471,0.002617642224816111,2.468038144828774,0.0813194152777221,1.0571523986103872,47.35467719965351,293.15,295.81725351673,3.629180733467555,0.001972794755541418,0.0016915927477039083,0.0010602011537732808,10384.258831954114,7736.73954790444,-0.0001035254017914803,0.0,0.0813194152777221
507.0,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.010559684447515367,-0.0,6.241999293849638,0.0024581074450896146,2.316716474545617,0.07629585623344658,0.9918461310348055,47.34858082968208,293.15,295.80582889976773,3.629180733467555,0.001973746570200854,0.0016916540175613256,0.0010606165995857072,10382.651169514862,7735.110015069865,-0.0001035254017914803,0.0,0.07629585623344658
507.5,0.0,0,-0.0,-2371.3605005812155,38.23729910425985,0.010259040475542965,-0.0,6.064065554567114,0.0023083226896215866,2.1747011982717086,0.07160828087890828,0.9309076514258076,47.34272525622535,293.15,295.7944405233449,3.629180733467555,0.0019746954432859356,0.0016917150980648183,0.001061030761466713,10381.048475541429,7733.485518291364,-0.0001035254017914803,0.0,0.07160828087890828
508.0,9.7,-9700,-204.9132731892508,-2371.3605005812155,38.23729910425985,0.009966921671132185,-0.0,5.93785796119136,0.002167690328096678,2.007672884282743,0.06723140608976776,0.8740082791669809,47.33709949106819,293.15,295.7830891336764,3.629180733467555,0.001975641306408183,0.0016917759848121086,0.0010614436095662569,10379.45086554537,7731.866174651892,-0.0001035254017914803,0.0,0.06723140608976776
508.5,2.1,-2100,-50.32378178916513,-2473.817137175841,37.729081660834126,-0.00031839827247607394,-0.40502831717111526,-0.1901965675783339,-0.011279884874244939,-10.493639696123031,83.05921238415401,1161.4079697709315,41.72977318751781,293.15,296.031661097164,3.6266091532038214,0.001976584097590619,0.0016785382432981677,0.0010797029461655067,10250.100740982498,7693.615501681766,-0.00010454183667833175,6.279862213609944,89.33907459776395
509.0,1.3,-1300,-28.48252493547981,-2498.9790280704233,37.60427069409512,-0.0027626797628733982,-0.09843024340403342,-1.6521434016089562,-0.013859997581524314,-12.867365486166813,5.07180969646161,86.03058039322451,45.64202095652797,293.15,296.0383426449853,3.6259776097121215,0.001955938920020231,0.0016740484674884536,0.001074925878998151,10255.280625112751,7718.68259488582,-0.00010479145861180976,1.545927256863352,6.617736953324962
