U_Batterie [V],Zeit [s]
46.63199587882754,266.0
46.65182091095231,266.5
46.6707646900679,267.0
46.688870486628794,267.5
46.70617930784128,268.0
46.722730021195034,268.5
46.73855947110976,269.0
46.75370258907764,269.5
46.76819249766211,270.0
46.782060608695396,270.5
46.795336715998474,271.0
46.80804908293073,271.5
46.820224525058926,272.0
46.831888488220486,272.5
46.84306512224007,273.0
46.85377735054468,273.5
46.86404693590896,274.0
46.87389454254882,274.5
46.883339794770265,275.0
46.89240133236782,275.5
46.90109686295636,276.0
46.90944321140999,276.5
46.917456366571095,277.0
46.925151525384294,277.5
46.93254313460052,278.0
46.93964493018853,278.5
46.94646997458315,279.0
46.95303069189262,279.5
47.188905763906185,280.0
46.52183276633138,280.5
48.87060234054116,281.0
48.95097058507681,281.5
51.04063927068329,282.0
50.61828643309766,282.5
51.55374043209273,283.0
49.9732514529263,283.5
48.75624657868174,284.0
49.77883758989556,284.5
49.65433147343028,285.0
49.55856267511583,285.5
49.66434633418526,286.0
48.106988395832474,286.5
47.5648053438689,287.0
49.49848272525159,287.5
49.00529427745806,288.0
49.572820100312114,288.5
49.17379714884156,289.0
49.36416263678958,289.5
49.33446109780028,290.0
48.17549357867111,290.5
48.13061003867672,291.0
48.08801746941087,291.5
48.047588101974675,292.0
48.00920162332905,292.5
47.97274473975879,293.0
47.93811076432647,293.5
47.90519922733089,294.0
47.87391550876156,294.5
47.84417049173116,295.0
47.81588023587278,295.5
47.788965669701874,296.0
47.76335230096388,296.5
47.73896994401618,297.0
47.71575246332294,297.5
47.69363753217604,298.0
47.67256640579088,298.5
47.652483707962475,299.0
47.633337230505134,299.5
47.615077744735785,300.0
47.597658824298385,300.5
47.58103667866282,301.0
47.565169996666945,301.5
47.55001979950456,302.0
47.53554930259524,302.5
47.52172378580298,303.0
47.50851047150155,303.5
47.49587841001268,304.0
47.48379837197106,304.5
47.47224274719626,305.0
47.461185449675874,305.5
47.45060182828869,306.0
47.44046858291775,306.5
47.43076368562496,307.0
47.421466306578274,307.5
47.41255674444137,308.0
47.40401636095309,308.5
47.39582751944083,309.0
47.387973527027384,309.5
47.38043858030539,310.0
47.3732077142678,310.5
47.36626675429513,311.0
47.35960227101291,311.5
47.3532015378441,312.0
47.34705249109191,312.5
47.34114369239863,313.0
41.88508064503662,313.5
46.115593366915775,314.0
46.095051485574494,314.5
45.17703398961011,315.0
45.46805097333249,315.5
45.88483332971676,316.0
45.62341429813883,316.5
45.62901713721581,317.0
45.35098248115232,317.5
45.763045987863336,318.0
45.80390234897752,318.5
45.66629309217443,319.0
45.63652824231351,319.5
46.55323596031239,320.0
45.425401971086416,320.5
45.53617859445376,321.0
45.449697169284796,321.5
45.47498362971532,322.0
45.56630770488153,322.5
45.60728311177934,323.0
45.769529035345435,323.5
45.707980781337724,324.0
45.698878731657025,324.5
45.63151764067796,325.0
45.61878356190637,325.5
45.607040962713555,326.0
45.65466790911222,326.5
45.64771921066905,327.0
46.290540006300866,327.5
44.98042487984776,328.0
43.090152125315136,328.5
43.11335015343624,329.0
43.66496659950571,329.5
43.969905079446136,330.0
44.09942146775499,330.5
44.0518223851825,331.0
43.99946370373714,331.5
44.009215642285035,332.0
44.02639007493378,332.5
44.04879340763917,333.0
44.13664034992651,333.5
44.174175739638244,334.0
44.27472076036803,334.5
44.38443950852492,335.0
44.50145456120005,335.5
44.5059153757224,336.0
44.44794638606943,336.5
44.44413541773353,337.0
44.38146928762066,337.5
44.55262716143323,338.0
